id,studentId,branchId,staffId,amount,method,bienLaiId,bienLaiPhoto,createdAt
PMT-00001,hv-001,br-1,u-1,1695000,Tiền mặt,BL-2025-001-00001,true,24/01/2025 08:05:27
PMT-00002,hv-002,br-1,u-2,922500,Tiền mặt,BL-2025-001-00002,true,15/01/2025 13:47:09
PMT-00003,hv-002,br-1,u-2,922500,Tiền mặt,BL-2025-002-00003,true,18/02/2025 13:38:47
PMT-00004,hv-003,br-1,u-2,997500,Tiền mặt,BL-2025-001-00004,true,16/01/2025 16:07:48
PMT-00005,hv-003,br-1,u-2,997500,Chuyển khoản,BL-2025-001-00005,true,30/01/2025 15:59:48
PMT-00006,hv-004,br-1,u-1,1695000,Tiền mặt,BL-2024-012-00006,true,29/12/2024 08:59:02
PMT-00007,hv-005,br-1,u-2,365000,Tiền mặt,BL-2024-012-00007,true,21/12/2024 17:42:39
PMT-00008,hv-006,br-1,u-1,1995000,Tiền mặt,BL-2024-012-00008,true,22/12/2024 16:39:13
PMT-00009,hv-007,br-1,u-2,1995000,Tiền mặt,BL-2024-012-00009,true,18/12/2024 13:04:17
PMT-00010,hv-008,br-1,u-2,1995000,Chuyển khoản,BL-2025-001-00010,true,04/01/2025 09:42:00
PMT-00011,hv-009,br-1,u-1,1995000,Chuyển khoản,BL-2024-012-00011,true,31/12/2024 16:09:39
PMT-00012,hv-010,br-2,u-4,415000,Tiền mặt,BL-2025-001-00012,true,03/01/2025 09:50:39
PMT-00013,hv-011,br-2,u-3,997500,Tiền mặt,BL-2024-012-00013,true,27/12/2024 13:12:52
PMT-00014,hv-011,br-2,u-3,997500,Tiền mặt,BL-2025-001-00014,true,05/01/2025 13:11:28
PMT-00015,hv-012,br-2,u-3,282500,Tiền mặt,BL-2024-012-00015,true,11/12/2024 13:37:43
PMT-00016,hv-015,br-2,u-4,1995000,Tiền mặt,BL-2024-012-00016,true,17/12/2024 11:19:15
PMT-00017,hv-016,br-3,u-5,1995000,Chuyển khoản,BL-2025-001-00017,true,02/01/2025 11:55:26
PMT-00018,hv-017,br-3,u-5,1995000,Chuyển khoản,BL-2024-012-00018,true,30/12/2024 15:05:09
PMT-00019,hv-018,br-1,u-2,565000,Tiền mặt,BL-2025-002-00019,false,14/02/2025 12:10:29
PMT-00020,hv-019,br-1,u-2,565000,Chuyển khoản,BL-2025-001-00020,true,30/01/2025 10:50:10
PMT-00021,hv-020,br-1,u-2,365000,Tiền mặt,BL-2025-001-00021,true,23/01/2025 14:27:12
PMT-00022,hv-021,br-1,u-1,1895000,Tiền mặt,BL-2025-001-00022,true,19/01/2025 12:36:15
PMT-00023,hv-022,br-1,u-2,282500,Chuyển khoản,BL-2025-002-00023,false,07/02/2025 13:31:40
PMT-00024,hv-022,br-1,u-2,282500,Tiền mặt,BL-2025-002-00024,true,19/02/2025 13:28:30
PMT-00025,hv-023,br-1,u-2,565000,Chuyển khoản,BL-2025-002-00025,true,03/02/2025 08:18:34
PMT-00026,hv-024,br-2,u-4,997500,Tiền mặt,BL-2025-002-00026,true,03/02/2025 08:44:42
PMT-00027,hv-025,br-2,u-3,947500,Tiền mặt,BL-2025-002-00027,true,01/02/2025 14:50:29
PMT-00028,hv-026,br-3,u-6,1845000,Tiền mặt,BL-2025-001-00028,false,13/01/2025 16:50:50
PMT-00029,hv-027,br-3,u-5,282500,Tiền mặt,BL-2025-002-00029,false,16/02/2025 13:03:04
PMT-00030,hv-027,br-3,u-5,282500,Chuyển khoản,BL-2025-003-00030,true,02/03/2025 12:59:06
PMT-00031,hv-028,br-1,u-2,565000,Chuyển khoản,BL-2025-002-00031,true,19/02/2025 13:26:30
PMT-00032,hv-029,br-1,u-2,997500,Chuyển khoản,BL-2025-002-00032,false,26/02/2025 10:20:29
PMT-00033,hv-029,br-1,u-2,997500,Tiền mặt,BL-2025-003-00033,true,11/03/2025 10:17:58
PMT-00034,hv-030,br-1,u-1,565000,Tiền mặt,BL-2025-002-00034,true,28/02/2025 16:34:06
PMT-00035,hv-031,br-1,u-1,1895000,Tiền mặt,BL-2025-003-00035,true,14/03/2025 12:50:26
PMT-00036,hv-032,br-1,u-2,1995000,Tiền mặt,BL-2025-003-00036,true,05/03/2025 12:52:10
PMT-00037,hv-033,br-1,u-1,1695000,Chuyển khoản,BL-2025-002-00037,true,12/02/2025 14:09:05
PMT-00038,hv-034,br-1,u-1,997500,Tiền mặt,BL-2025-002-00038,false,26/02/2025 17:07:26
PMT-00039,hv-034,br-1,u-1,997500,Tiền mặt,BL-2025-003-00039,true,19/03/2025 17:05:41
PMT-00040,hv-035,br-1,u-2,1995000,Tiền mặt,BL-2025-002-00040,true,14/02/2025 13:05:42
PMT-00041,hv-036,br-1,u-2,997500,Tiền mặt,BL-2025-002-00041,true,12/02/2025 16:14:01
PMT-00042,hv-037,br-1,u-1,565000,Chuyển khoản,BL-2025-002-00042,true,15/02/2025 17:53:09
PMT-00043,hv-038,br-1,u-2,565000,Tiền mặt,BL-2025-003-00043,true,13/03/2025 08:44:42
PMT-00044,hv-039,br-1,u-1,415000,Tiền mặt,BL-2025-002-00044,true,13/02/2025 15:47:40
PMT-00045,hv-040,br-1,u-2,1995000,Tiền mặt,BL-2025-003-00045,true,16/03/2025 12:19:44
PMT-00046,hv-041,br-1,u-2,207500,Chuyển khoản,BL-2025-003-00046,true,14/03/2025 12:48:11
PMT-00047,hv-041,br-1,u-2,207500,Chuyển khoản,BL-2025-003-00047,true,30/03/2025 12:41:48
PMT-00048,hv-042,br-1,u-1,282500,Chuyển khoản,BL-2025-002-00048,true,17/02/2025 11:33:21
